CASE #,DATE,TIME,OFFENSE,LOCATION,STREET_NAME,OFFENSE_CATEGORY,SOURCE_FILE
25-01443,4/13/2025,1525,Mental Health Evaluation,COWPER ST,COWPER ST,Mental Health,april-18-2025-police-report-log.pdf
25-01445,4/13/2025,1901,Mental Health Evaluation,MELVILLE AVE/CHANNING AVE,MELVILLE AVE,Mental Health,april-18-2025-police-report-log.pdf
25-01446,4/13/2025,1934,Petty theft - All other larceny (M),EL CAMINO REAL,EL CAMINO REAL,Theft,april-18-2025-police-report-log.pdf
25-80266,4/14/2025,2233,Lost Property,1004 EMERSON ST,EMERSON ST,Other,april-18-2025-police-report-log.pdf
25-01486,4/16/2025,1247,COURTESY REPORT,275 FOREST AVE,FOREST AVE,Other,april-18-2025-police-report-log.pdf
25-01261,4/3/2025,0945,THEFT FROM VEHICLE,1000 BLOCK UNIVERSITY AVE,UNIVERSITY AVE,Theft,april-03-2025-police-report-log.pdf
25-01264,4/3/2025,1122,Petty theft - All other larceny (M),400 BLOCK PALO ALTO AVE,PALO ALTO AVE,Theft,april-03-2025-police-report-log.pdf
25-01271,4/3/2025,1438,MENTAL HEALTH EVAL,UNIVERSITY AVE / HIGH ST,UNIVERSITY AVE,Mental Health,april-03-2025-police-report-log.pdf
25-01274,4/3/2025,1554,Mental Health Evaluation,UNIVERSITY AVE / BRYANT ST,UNIVERSITY AVE,Mental Health,april-03-2025-police-report-log.pdf
25-01288,4/4/2025,0948,Suspicious Person,COLLEGE AVE / YALE ST,COLLEGE AVE,Disturbance,april-04-2025-police-report-log.pdf
25-01307,4/4/2025,2242,INTOXICATED SUBJECT,400 BLOCK EMERSON ST,EMERSON ST,DUI/Alcohol,april-04-2025-police-report-log.pdf
25-01309,4/4/2025,2355,VERBAL DISPUTE,700 BLOCK ALMA ST,ALMA ST,Disturbance,april-04-2025-police-report-log.pdf
25-01347,4/7/2025,1545,SUSPICIOUS PERSON,100 BLOCK CALIFORNIA AVE,CALIFORNIA AVE,Disturbance,april-07-2025-police-report-log.pdf
25-01349,4/7/2025,1623,THEFT,600 BLOCK RAMONA ST,RAMONA ST,Theft,april-07-2025-police-report-log.pdf
25-01360,4/8/2025,0918,MENTAL HEALTH EVAL,300 BLOCK BRYANT ST,BRYANT ST,Mental Health,april-08-2025-police-report-log.pdf
25-01362,4/8/2025,1000,ATTEMPTED FRAUD,200 BLOCK WILTON AVE,WILTON AVE,Other,april-08-2025-police-report-log.pdf
25-01371,4/8/2025,1548,SHELTER DISPUTE,3000 BLOCK MIDDLEFIELD RD,MIDDLEFIELD RD,Disturbance,april-08-2025-police-report-log.pdf
25-01376,4/9/2025,0817,TRAFFIC HAZARD,EMBARCADERO RD / MIDDLEFIELD RD,EMBARCADERO RD,Traffic,april-09-2025-police-report-log.pdf
25-01379,4/9/2025,0950,PROPERTY DAMAGE,3300 BLOCK KIPLING ST,KIPLING ST,Vandalism,april-09-2025-police-report-log.pdf
25-01387,4/9/2025,1557,Drug violation,UNIVERSITY AVE / MIDDLEFIELD RD,UNIVERSITY AVE,Drugs,april-09-2025-police-report-log.pdf
25-01390,4/9/2025,1741,Collision - Property damage only,ALMA ST / UNIVERSITY AVE,ALMA ST,Traffic,april-09-2025-police-report-log.pdf
25-01409,4/10/2025,1757,Collision - Property damage only,ARASTRADERO RD / FOOTHILL EXPY,ARASTRADERO RD,Traffic,april-10-2025-police-report-log.pdf
25-01410,4/10/2025,1818,Collision - Property damage only,EL CAMINO REAL / STANFORD AVE,EL CAMINO REAL,Traffic,april-10-2025-police-report-log.pdf
25-80380,4/11/2025,0004,PROWLER,3900 BLOCK PARK BLVD,PARK BLVD,Disturbance,april-11-2025-police-report-log.pdf
25-01421,4/11/2025,0933,Vandalism,2300 BLOCK MIDDLEFIELD RD,MIDDLEFIELD RD,Vandalism,april-11-2025-police-report-log.pdf
25-01431,4/11/2025,1518,Mental Health Evaluation,2200 BLOCK EL CAMINO REAL,EL CAMINO REAL,Mental Health,april-11-2025-police-report-log.pdf
25-01432,4/11/2025,1536,THEFT,300 BLOCK CALIFORNIA AVE,CALIFORNIA AVE,Theft,april-11-2025-police-report-log.pdf
25-01433,4/11/2025,1611,NOISE COMPLAINT,2300 BLOCK TASSO ST,TASSO ST,Disturbance,april-11-2025-police-report-log.pdf
25-01436,4/11/2025,1736,Simple assault,4200 BLOCK PARK BLVD,PARK BLVD,Assault,april-11-2025-police-report-log.pdf
25-01441,4/12/2025,1639,Mental Health Evaluation,700 BLOCK MIDDLEFIELD RD,MIDDLEFIELD RD,Mental Health,april-17-2025-police-report-log.pdf
25-01458,4/14/2025,1459,PROWLER,800 BLOCK HIGH ST,HIGH ST,Disturbance,april-14-2025-police-report-log.pdf
25-01474,4/15/2025,1313,AUTO BURGLARY,400 BLOCK CAMBRIDGE AVE,CAMBRIDGE AVE,Theft,april-15-2025-police-report-log.pdf
25-01480,4/15/2025,1945,Drug violation,200 BLOCK ALMA ST,ALMA ST,Drugs,april-15-2025-police-report-log.pdf
