case_number,date,time,offense_type,location,arrest_info,latitude,longitude,formatted_address,google_maps_uri,place_types,location_interpretation
25-01273,3/31/2025,1317,Unlawful sexual intercourse w/minor:3 yrs older or younger (M),FOREST AVE,JUVENILE,37.4491683,-122.1543299,"Forest Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=13653085721536612868,route,route
25-80255,4/9/2025,1326,Petty theft - All other larceny (M),240 PASTEUR DR,,37.4328974,-122.1774393,"240 Pasteur Dr, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=16726670519328160086,"premise,street_address",street_address_or_premise
25-80258,4/9/2025,1429,Lost Property,899 E CHARLESTON RD,,37.4222363,-122.1030933,"899 E Charleston Rd, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=10541960684929834702,street_address,street_address_or_premise
25-80256,4/10/2025,2339,Vehicle Accident/Non Injury,PISTACHE PL/EL CAMINO REAL,,37.4456914,-122.17033239999999,"El Camino Real & Pistache Pl, Palo Alto, CA 94304, USA","https://maps.google.com/?q=El+Camino+Real+%26+Pistache+Pl,+Palo+Alto,+CA+94304,+USA&ftid=0x808fbb35c22fdd6d:0x7e84beb903d786e0",intersection,intersection
25-80260,4/12/2025,1529,Lost Property,845 RAMONA ST,,37.442381399999995,-122.15728620000002,"845 Ramona St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=12842435311134784521,"premise,street_address",street_address_or_premise
25-01435,4/12/2025,1934,Petty theft - Shoplifting (M),EL CAMINO REAL,SORIANORODRIGUEZ CRISTOFER SAUL (DOB: 2007-03-22) M H REDWOOD CITY; Cited; 484(A) PC,37.4203243,-122.1366538,"El Camino Real, Palo Alto, CA, USA","https://maps.google.com/?q=El+Camino+Real,+Palo+Alto,+CA,+USA&ftid=0x808fcb0b782c489d:0x380db039ff6cae75",route,route
25-01435,4/12/2025,1934,Petty theft - Shoplifting (M),EL CAMINO REAL,,37.4203243,-122.1366538,"El Camino Real, Palo Alto, CA, USA","https://maps.google.com/?q=El+Camino+Real,+Palo+Alto,+CA,+USA&ftid=0x808fcb0b782c489d:0x380db039ff6cae75",route,route
25-80262,4/13/2025,14,Hit and run with vehicle/property damage only (M),510 LYTTON AVE,,37.4490367,-122.16013590000001,"510 Lytton Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=16127707690273164106,"premise,street_address",street_address_or_premise
25-80259,4/13/2025,2107,Lost Property,540 BRYANT ST,,37.445239099999995,-122.16101919999998,"540 Bryant St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=7237309208468963558,"premise,street_address",street_address_or_premise
25-01453,4/14/2025,1001,Bench warrant/failure to appear on misdemeanor charge (M),850 BRYANT ST,DILL JOSEPH ENZIO (DOB: 1988-10-23) M B SAN FRANCISCO; Booked; 978.5 PC,37.4429691,-122.15744099999999,"850 Bryant St, Palo Alto, CA 94301, USA","https://maps.google.com/?q=850+Bryant+St,+Palo+Alto,+CA+94301,+USA&ftid=0x808fbb3c83fa98af:0x89e518b69500980",street_address,street_address_or_premise
25-01460,4/14/2025,1633,FOUND PROPERTY,102 WALTER HAYS DR,,37.4446462,-122.13648219999999,"102 Walter Hays Dr, Palo Alto, CA 94303, USA",https://maps.google.com/?cid=4164480243007308006,"premise,street_address",street_address_or_premise
25-01463,4/14/2025,2056,Disturb by loud/unreasonable noise (M),180 EL CAMINO REAL,CHAND JOSEPH (DOB: 1987-08-08) M Z; Booked; 148(A)(1) PC 314(1) PC 415(2) PC,37.443646199999996,-122.16849889999997,"180 El Camino Real, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=10694182497936204464,street_address,street_address_or_premise
