case_number,date,time,offense_type,location,arrest_info,latitude,longitude,formatted_address,google_maps_uri,place_types,location_interpretation
25-00927,3/5/2025,1237,Theft of personal property - Motor vehicle parts/accessories (M),4207 POMONA AVE,,37.4047907,-122.1269191,"4207 Pomona Ave, Palo Alto, CA 94306, USA",https://maps.google.com/?cid=7061224375187598502,"premise,street_address",street_address_or_premise
25-00947,3/6/2025,2053,Vandalism:deface property (M),3500 DEER CREEK RD,,37.3946872,-122.15039179999998,"3500 Deer Creek Rd, Palo Alto, CA 94304, USA",https://maps.google.com/?cid=10681539549466842605,street_address,street_address_or_premise
25-01050,3/14/2025,1434,Hit and run with vehicle/property damage only (M),.2000 PRINCETON ST,,37.423276099999995,-122.15266640000002,"2000 Princeton St, Palo Alto, CA 94306, USA","https://maps.google.com/?q=2000+Princeton+St,+Palo+Alto,+CA+94306,+USA&ftid=0x808fbae81da593c3:0xe19e87316b024044",street_address,street_address_or_premise
25-01052,3/14/2025,1803,Battery:spouse/ex spouse/date/etc - Simple (M),WELCH RD,"JAQUEZ, CHRISTINA (DOB: 1991-12-28, F, H, SUNNYVALE) - Booked - 243(E)(1) PC, 273A(A) PC",37.4346638,-122.179252,"Welch Rd, Palo Alto, CA, USA","https://maps.google.com/?q=Welch+Rd,+Palo+Alto,+CA,+USA&ftid=0x808fa4d2c14cc1bd:0x686b8edefe119f33",route,route
25-01080,3/17/2025,1711,Vandalism:damage property (F),912 WEBSTER ST,,37.4457865,-122.15286180000001,"912 Webster St, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=1621208257784908831,street_address,street_address_or_premise
25-01118,3/19/2025,1009,Bench warrant/failure to appear on misdemeanor charge (M),275 FOREST AVE,"WHITMORE, JULIE ANNE (DOB: 1997-10-09, F, W, PALO ALTO) - Booked - 978.5 PC",37.4442196,-122.15960210000001,"275 Forest Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=95238810619628067,"subpremise,street_address",street_address_or_premise
25-01121,3/19/2025,1238,Bench warrant/failure to appear on misdemeanor charge (M),275 FOREST AVE,"MONTOYAORTIZ, PATRICK HUMBERTO (DOB: 1991-11-23, M, H, MOUNTAIN VIEW) - Cited - 978.5 PC",37.4442196,-122.15960210000001,"275 Forest Ave, Palo Alto, CA 94301, USA",https://maps.google.com/?cid=95238810619628067,"subpremise,street_address",street_address_or_premise
25-01147,3/20/2025,2123,Outside Warrant Arrest - Misdemeanor,CHURCHILL AVE/ALMA ST,"SANDOVALPINEDA, KATHERINE (DOB: 1998-06-16, F, H, SUNNYVALE) - Cited - Outside Warrant/M",37.4356186,-122.1516012,"Alma St & Churchill Ave, Palo Alto, CA 94306, USA","https://maps.google.com/?q=Alma+St+%26+Churchill+Ave,+Palo+Alto,+CA+94306,+USA&ftid=0x808fbb1f81fb91bd:0x60389d0e73564ecd",intersection,intersection
25-01160,3/21/2025,2316,Vehicle Accident/Injury,PALO ALTO AVE/EL CAMINO REAL,,37.446847399999996,-122.17155549999998,"El Camino Real & Palo Alto Ave, Palo Alto, CA 94025, USA","https://maps.google.com/?q=El+Camino+Real+%26+Palo+Alto+Ave,+Palo+Alto,+CA+94025,+USA&ftid=0x808fbb4a7c72bda9:0xba38b43c16645b48",intersection,intersection
25-01162,3/22/2025,112,Dui alcohol (M),CHURCHILL AVE/ALMA ST,"MUSYOKA, PETER WAMBUA (DOB: 1986-06-09, M, B, MOUNTAIN VIEW) - Booked - 23152(A) VC, 23152(B) VC",37.4356186,-122.1516012,"Alma St & Churchill Ave, Palo Alto, CA 94306, USA","https://maps.google.com/?q=Alma+St+%26+Churchill+Ave,+Palo+Alto,+CA+94306,+USA&ftid=0x808fbb1f81fb91bd:0x60389d0e73564ecd",intersection,intersection
